Temps[s] ; Tension Generateur[V] ; Courant[A] 
2.47955322265625e-05 ; 0.1183 ; 0.0 
0.5006895065307617 ; 0.1163 ; 0.0 
1.0012304782867432 ; 0.1153 ; 0.0 
1.501880168914795 ; 0.1144 ; 0.0 
2.002549886703491 ; 0.1134 ; 0.0 
2.5032010078430176 ; 0.1124 ; 0.0 
3.0038251876831055 ; 0.1105 ; 0.0 
3.5044398307800293 ; 0.1095 ; 0.0 
4.005040168762207 ; 0.1085 ; 0.0 
4.505584239959717 ; 0.1075 ; 0.0 
5.006094217300415 ; 0.1075 ; 0.0 
5.50665545463562 ; 0.1065 ; 0.0 
6.007342338562012 ; 0.1056 ; 0.0 
6.5080342292785645 ; 0.1046 ; 0.0 
7.008734703063965 ; 0.1036 ; 0.0 
7.509309768676758 ; 0.1026 ; 0.0 
8.009882688522339 ; 0.1017 ; 0.0 
8.510426044464111 ; 0.1017 ; 0.0 
9.010983943939209 ; 0.1017 ; 0.0 
9.511631965637207 ; 0.0997 ; 0.0 
10.011854887008667 ; 0.0987 ; 0.0 
10.512506484985352 ; 0.0978 ; 0.0 
11.01314401626587 ; 0.0978 ; 0.0 
11.513692855834961 ; 0.0978 ; 0.0 
12.013896226882935 ; 0.0958 ; 0.0 
12.514527320861816 ; 0.0958 ; 0.0 
13.015244245529175 ; 0.0948 ; 0.0 
13.515872716903687 ; 0.0948 ; 0.0 
14.016502618789673 ; 0.0929 ; 0.0 
14.517123460769653 ; 0.0919 ; 0.0 
15.01768684387207 ; 0.0919 ; 0.0 
15.517990589141846 ; 0.0919 ; 0.0 
16.01863431930542 ; 0.0909 ; 0.0 
16.519329071044922 ; 0.0909 ; 0.0 
17.019989013671875 ; 0.0909 ; 0.0 
17.520541191101074 ; 0.089 ; 0.0 
18.02121901512146 ; 0.089 ; 0.0 
18.521912097930908 ; 0.088 ; 0.0 
19.022550106048584 ; 0.088 ; 0.0 
19.523341417312622 ; 0.087 ; 0.0 
20.024001121520996 ; 0.087 ; 0.0 
20.524654626846313 ; 0.086 ; 0.0 
21.025197744369507 ; 0.085 ; 0.0 
21.525818824768066 ; 0.0841 ; 0.0 
22.025877475738525 ; 0.0841 ; 0.0 
22.526010990142822 ; 0.0841 ; 0.0 
23.02657175064087 ; 0.0841 ; 0.0 
23.527130126953125 ; 0.0841 ; 0.0 
24.027763605117798 ; 0.0831 ; 0.0 
24.528413772583008 ; 0.0821 ; 0.0 
25.029056072235107 ; 0.0821 ; 0.0 
25.529712915420532 ; 0.0821 ; 0.0 
26.02998661994934 ; 0.0811 ; 0.0 
26.53054714202881 ; 0.0811 ; 0.0 
27.03112816810608 ; 0.0802 ; 0.0 
27.531696557998657 ; 0.0802 ; 0.0 
28.032306671142578 ; 0.0802 ; 0.0 
28.53284478187561 ; 0.0792 ; 0.0 
29.03348708152771 ; 0.0792 ; 0.0 
29.534002542495728 ; 0.0792 ; 0.0 
30.03455948829651 ; 0.0792 ; 0.0 
30.535200357437134 ; 0.0782 ; 0.0 
31.0358464717865 ; 0.0782 ; 0.0 
31.53652858734131 ; 0.0782 ; 0.0 
32.03716254234314 ; 0.0772 ; 0.0 
32.53769874572754 ; 0.0772 ; 0.0 
33.037904500961304 ; 0.0762 ; 0.0 
33.53845524787903 ; 0.0762 ; 0.0 
34.039077043533325 ; 0.0762 ; 0.0 
34.539639472961426 ; 0.0762 ; 0.0 
35.04018688201904 ; 0.0753 ; 0.0 
35.540732622146606 ; 0.0753 ; 0.0 
36.04108691215515 ; 0.0753 ; 0.0 
36.54135870933533 ; 0.0753 ; 0.0 
37.04195475578308 ; 0.0743 ; 0.0 
37.54261541366577 ; 0.0743 ; 0.0 
38.04328012466431 ; 0.0743 ; 0.0 
38.54391288757324 ; 0.0743 ; 0.0 
39.0444974899292 ; 0.0743 ; 0.0 
39.545122146606445 ; 0.0733 ; 0.0 
40.04578232765198 ; 0.0743 ; 0.0 
40.54608488082886 ; 0.0733 ; 0.0 
41.04664897918701 ; 0.0733 ; 0.0 
41.547311305999756 ; 0.0723 ; 0.0 
42.0479633808136 ; 0.0733 ; 0.0 
42.54865312576294 ; 0.0723 ; 0.0 
43.04934573173523 ; 0.0723 ; 0.0 
43.549994707107544 ; 0.0723 ; 0.0 
44.0506374835968 ; 0.0714 ; 0.0 
44.55129647254944 ; 0.0723 ; 0.0 
45.051955699920654 ; 0.0723 ; 0.0 
45.55242681503296 ; 0.0714 ; 0.0 
46.05307865142822 ; 0.0714 ; 0.0 
46.553757190704346 ; 0.0714 ; 0.0 
47.05440878868103 ; 0.0704 ; 0.0 
47.55508542060852 ; 0.0714 ; 0.0 
48.05574297904968 ; 0.0704 ; 0.0 
48.556403160095215 ; 0.0694 ; 0.0 
