Temps[s] ; V0[V] ; V1[V] ; V2[V] 
2.4080276489257812e-05 ; 0.5083 ; 0.1173 ; 0.0 
0.5005669593811035 ; 0.5044 ; 0.1183 ; 0.0 
1.0012075901031494 ; 0.5005 ; 0.1183 ; 0.0 
1.5017549991607666 ; 0.4976 ; 0.1193 ; 0.0 
2.002441167831421 ; 0.4956 ; 0.1202 ; 0.0 
2.502990245819092 ; 0.4936 ; 0.1212 ; 0.0 
3.0035414695739746 ; 0.4917 ; 0.1222 ; 0.0 
3.5038726329803467 ; 0.4917 ; 0.1222 ; 0.0 
4.004422664642334 ; 0.4897 ; 0.1222 ; 0.0 
4.504952907562256 ; 0.4897 ; 0.1232 ; 0.0 
5.005467891693115 ; 0.4888 ; 0.1241 ; 0.0 
5.506096839904785 ; 0.4888 ; 0.1251 ; 0.0 
6.006723880767822 ; 0.4878 ; 0.1251 ; 0.0 
6.507272958755493 ; 0.4868 ; 0.1251 ; 0.0 
7.007758378982544 ; 0.4868 ; 0.1261 ; 0.0 
7.508298397064209 ; 0.4868 ; 0.1271 ; 0.0 
8.008840084075928 ; 0.4868 ; 0.1271 ; 0.0 
8.509405851364136 ; 0.4868 ; 0.1281 ; 0.0 
9.010029554367065 ; 0.4868 ; 0.1281 ; 0.0 
9.510658264160156 ; 0.4858 ; 0.1281 ; 0.0 
10.011213064193726 ; 0.4868 ; 0.13 ; 0.0 
10.51184606552124 ; 0.4868 ; 0.13 ; 0.0 
11.012385129928589 ; 0.4868 ; 0.13 ; 0.0 
11.512930393218994 ; 0.4868 ; 0.131 ; 0.0 
12.013453006744385 ; 0.4868 ; 0.131 ; 0.0 
12.514003992080688 ; 0.4878 ; 0.132 ; 0.0 
13.014630794525146 ; 0.4868 ; 0.132 ; 0.0 
13.51526141166687 ; 0.4878 ; 0.1329 ; 0.0 
14.0157630443573 ; 0.4888 ; 0.1339 ; 0.0 
14.516287326812744 ; 0.4888 ; 0.1349 ; 0.0 
15.016819477081299 ; 0.4888 ; 0.1349 ; 0.0 
15.51747465133667 ; 0.4888 ; 0.1349 ; 0.0 
16.018118858337402 ; 0.4897 ; 0.1359 ; 0.0 
16.51867127418518 ; 0.4897 ; 0.1369 ; 0.0 
17.019256114959717 ; 0.4907 ; 0.1378 ; 0.0 
17.519908905029297 ; 0.4907 ; 0.1378 ; 0.0 
18.020462036132812 ; 0.4917 ; 0.1388 ; 0.0 
18.52101159095764 ; 0.4917 ; 0.1388 ; 0.0 
19.02165412902832 ; 0.4927 ; 0.1408 ; 0.0 
19.52230453491211 ; 0.4936 ; 0.1408 ; 0.0 
20.02293086051941 ; 0.4946 ; 0.1417 ; 0.0 
20.523494958877563 ; 0.4946 ; 0.1427 ; 0.0 
21.023789405822754 ; 0.4956 ; 0.1437 ; 0.0 
21.524478435516357 ; 0.4966 ; 0.1437 ; 0.0 
22.02514624595642 ; 0.4976 ; 0.1447 ; 0.0 
22.52583074569702 ; 0.4976 ; 0.1457 ; 0.0 
23.026391983032227 ; 0.4985 ; 0.1466 ; 0.0 
23.526954889297485 ; 0.4995 ; 0.1466 ; 0.0 
24.02763605117798 ; 0.5005 ; 0.1486 ; 0.0 
24.527779579162598 ; 0.5015 ; 0.1486 ; 0.0 
25.027855396270752 ; 0.5015 ; 0.1496 ; 0.0 
25.52841019630432 ; 0.5024 ; 0.1505 ; 0.0 
26.028972387313843 ; 0.5034 ; 0.1505 ; 0.0 
26.529653549194336 ; 0.5034 ; 0.1515 ; 0.0 
27.030374765396118 ; 0.5044 ; 0.1525 ; 0.0 
27.53103494644165 ; 0.5054 ; 0.1525 ; 0.0 
28.031702756881714 ; 0.5054 ; 0.1535 ; 0.0 
28.532357692718506 ; 0.5064 ; 0.1535 ; 0.0 
29.03299903869629 ; 0.5064 ; 0.1544 ; 0.0 
29.533657550811768 ; 0.5083 ; 0.1554 ; 0.0 
30.034303665161133 ; 0.5083 ; 0.1564 ; 0.0 
30.53494358062744 ; 0.5093 ; 0.1564 ; 0.0 
31.035634994506836 ; 0.5093 ; 0.1574 ; 0.0 
31.536330461502075 ; 0.5112 ; 0.1593 ; 0.0 
32.03700661659241 ; 0.5122 ; 0.1593 ; 0.0 
32.53764224052429 ; 0.5122 ; 0.1603 ; 0.0 
33.0382022857666 ; 0.5132 ; 0.1603 ; 0.0 
33.5387442111969 ; 0.5132 ; 0.1613 ; 0.0 
34.03937125205994 ; 0.5132 ; 0.1623 ; 0.0 
34.539769411087036 ; 0.5152 ; 0.1623 ; 0.0 
35.040412187576294 ; 0.5152 ; 0.1632 ; 0.0 
35.54107403755188 ; 0.5161 ; 0.1642 ; 0.0 
36.041722536087036 ; 0.5161 ; 0.1642 ; 0.0 
36.54238295555115 ; 0.5181 ; 0.1652 ; 0.0 
37.042951583862305 ; 0.5181 ; 0.1662 ; 0.0 
37.54358696937561 ; 0.5191 ; 0.1662 ; 0.0 
38.04425287246704 ; 0.52 ; 0.1672 ; 0.0 
38.54480862617493 ; 0.52 ; 0.1681 ; 0.0 
39.04546856880188 ; 0.522 ; 0.1691 ; 0.0 
39.54603362083435 ; 0.522 ; 0.1691 ; 0.0 
40.046696186065674 ; 0.523 ; 0.1711 ; 0.0 
40.54734468460083 ; 0.523 ; 0.1711 ; 0.0 
41.047855615615845 ; 0.5239 ; 0.172 ; 0.0 
41.54840922355652 ; 0.5249 ; 0.172 ; 0.0 
42.04902410507202 ; 0.5259 ; 0.173 ; 0.0 
42.54967641830444 ; 0.5259 ; 0.174 ; 0.0 
43.05034351348877 ; 0.5269 ; 0.175 ; 0.0 
43.551005601882935 ; 0.5279 ; 0.176 ; 0.0 
44.051671504974365 ; 0.5288 ; 0.1769 ; 0.0 
44.55187463760376 ; 0.5288 ; 0.1769 ; 0.0 
45.052433013916016 ; 0.5298 ; 0.1779 ; 0.0 
45.553099393844604 ; 0.5298 ; 0.1789 ; 0.0 
46.05365467071533 ; 0.5308 ; 0.1789 ; 0.0 
46.55433464050293 ; 0.5318 ; 0.1799 ; 0.0 
47.054880142211914 ; 0.5318 ; 0.1799 ; 0.0 
47.555423974990845 ; 0.5327 ; 0.1808 ; 0.0 
48.05577063560486 ; 0.5337 ; 0.1818 ; 0.0 
48.556328773498535 ; 0.5347 ; 0.1828 ; 0.0 
49.056546449661255 ; 0.5347 ; 0.1828 ; 0.0 
49.55712103843689 ; 0.5357 ; 0.1838 ; 0.0 
50.057703495025635 ; 0.5357 ; 0.1838 ; 0.0 
50.55826210975647 ; 0.5367 ; 0.1857 ; 0.0 
51.058823585510254 ; 0.5376 ; 0.1848 ; 0.0 
51.55940103530884 ; 0.5386 ; 0.1867 ; 0.0 
52.059866189956665 ; 0.5386 ; 0.1867 ; 0.0 
52.56041479110718 ; 0.5396 ; 0.1877 ; 0.0 
53.060972690582275 ; 0.5406 ; 0.1887 ; 0.0 
53.561622619628906 ; 0.5406 ; 0.1887 ; 0.0 
54.06225514411926 ; 0.5415 ; 0.1896 ; 0.0 
54.56291317939758 ; 0.5425 ; 0.1906 ; 0.0 
55.06346607208252 ; 0.5435 ; 0.1906 ; 0.0 
55.56410098075867 ; 0.5445 ; 0.1926 ; 0.0 
56.06467008590698 ; 0.5445 ; 0.1926 ; 0.0 
56.565261125564575 ; 0.5455 ; 0.1926 ; 0.0 
57.06590032577515 ; 0.5455 ; 0.1935 ; 0.0 
57.5665180683136 ; 0.5464 ; 0.1945 ; 0.0 
58.0670702457428 ; 0.5474 ; 0.1945 ; 0.0 
58.56779193878174 ; 0.5474 ; 0.1955 ; 0.0 
59.06845831871033 ; 0.5484 ; 0.1965 ; 0.0 
59.56910514831543 ; 0.5494 ; 0.1975 ; 0.0 
60.06976938247681 ; 0.5494 ; 0.1984 ; 0.0 
60.57044982910156 ; 0.5503 ; 0.1984 ; 0.0 
61.07111358642578 ; 0.5513 ; 0.1984 ; 0.0 
61.57171440124512 ; 0.5523 ; 0.2004 ; 0.0 
62.072142124176025 ; 0.5533 ; 0.2004 ; 0.0 
62.572702407836914 ; 0.5533 ; 0.2014 ; 0.0 
63.07328748703003 ; 0.5543 ; 0.2023 ; 0.0 
63.57396149635315 ; 0.5552 ; 0.2023 ; 0.0 
64.07463335990906 ; 0.5552 ; 0.2033 ; 0.0 
64.57528233528137 ; 0.5562 ; 0.2033 ; 0.0 
65.07588863372803 ; 0.5572 ; 0.2043 ; 0.0 
65.57652688026428 ; 0.5572 ; 0.2043 ; 0.0 
66.07717967033386 ; 0.5582 ; 0.2053 ; 0.0 
66.57781910896301 ; 0.5591 ; 0.2063 ; 0.0 
67.07848167419434 ; 0.5582 ; 0.2063 ; 0.0 
67.57911324501038 ; 0.5591 ; 0.2063 ; 0.0 
68.07982563972473 ; 0.5601 ; 0.2072 ; 0.0 
68.5804796218872 ; 0.5601 ; 0.2072 ; 0.0 
69.08113169670105 ; 0.5601 ; 0.2082 ; 0.0 
69.58177351951599 ; 0.5611 ; 0.2082 ; 0.0 
70.08242154121399 ; 0.5611 ; 0.2092 ; 0.0 
70.5831024646759 ; 0.5621 ; 0.2092 ; 0.0 
71.08365416526794 ; 0.563 ; 0.2092 ; 0.0 
71.58434462547302 ; 0.563 ; 0.2102 ; 0.0 
72.08501744270325 ; 0.563 ; 0.2102 ; 0.0 
72.58556604385376 ; 0.564 ; 0.2111 ; 0.0 
73.0862021446228 ; 0.565 ; 0.2121 ; 0.0 
73.58676815032959 ; 0.565 ; 0.2121 ; 0.0 
74.08741211891174 ; 0.565 ; 0.2121 ; 0.0 
74.58806037902832 ; 0.566 ; 0.2121 ; 0.0 
75.08861541748047 ; 0.567 ; 0.2131 ; 0.0 
75.58928656578064 ; 0.566 ; 0.2131 ; 0.0 
76.0899407863617 ; 0.567 ; 0.2131 ; 0.0 
76.59058880805969 ; 0.567 ; 0.2141 ; 0.0 
77.0911214351654 ; 0.5679 ; 0.2141 ; 0.0 
77.59188318252563 ; 0.5679 ; 0.2141 ; 0.0 
78.09246158599854 ; 0.5679 ; 0.2141 ; 0.0 
78.59313941001892 ; 0.5689 ; 0.2151 ; 0.0 
79.09380769729614 ; 0.5689 ; 0.2151 ; 0.0 
79.5943911075592 ; 0.5689 ; 0.2151 ; 0.0 
80.09503650665283 ; 0.5689 ; 0.216 ; 0.0 
80.59574270248413 ; 0.5689 ; 0.216 ; 0.0 
81.09642052650452 ; 0.5699 ; 0.217 ; 0.0 
81.59708881378174 ; 0.5699 ; 0.217 ; 0.0 
82.09777808189392 ; 0.5699 ; 0.217 ; 0.0 
82.59833192825317 ; 0.5709 ; 0.217 ; 0.0 
83.09897518157959 ; 0.5709 ; 0.217 ; 0.0 
83.59963989257812 ; 0.5718 ; 0.217 ; 0.0 
84.10022473335266 ; 0.5709 ; 0.217 ; 0.0 
84.60080361366272 ; 0.5718 ; 0.217 ; 0.0 
85.10151195526123 ; 0.5718 ; 0.218 ; 0.0 
85.60218501091003 ; 0.5718 ; 0.218 ; 0.0 
86.10273456573486 ; 0.5718 ; 0.219 ; 0.0 
86.60337471961975 ; 0.5728 ; 0.219 ; 0.0 
87.10405921936035 ; 0.5728 ; 0.219 ; 0.0 
87.60469222068787 ; 0.5728 ; 0.219 ; 0.0 
88.10537648200989 ; 0.5728 ; 0.219 ; 0.0 
88.6059205532074 ; 0.5738 ; 0.219 ; 0.0 
89.10656213760376 ; 0.5738 ; 0.219 ; 0.0 
89.60709834098816 ; 0.5738 ; 0.219 ; 0.0 
90.10775804519653 ; 0.5738 ; 0.2199 ; 0.0 
90.60831332206726 ; 0.5748 ; 0.2199 ; 0.0 
91.10887670516968 ; 0.5738 ; 0.2199 ; 0.0 
91.60943937301636 ; 0.5748 ; 0.2199 ; 0.0 
92.11013150215149 ; 0.5748 ; 0.2199 ; 0.0 
92.6106870174408 ; 0.5748 ; 0.2199 ; 0.0 
93.1113395690918 ; 0.5748 ; 0.2209 ; 0.0 
93.61187171936035 ; 0.5758 ; 0.2209 ; 0.0 
94.11246085166931 ; 0.5748 ; 0.2199 ; 0.0 
94.61304974555969 ; 0.5758 ; 0.2209 ; 0.0 
95.1132915019989 ; 0.5758 ; 0.2199 ; 0.0 
95.61394262313843 ; 0.5758 ; 0.2209 ; 0.0 
96.11460614204407 ; 0.5758 ; 0.2209 ; 0.0 
96.61526823043823 ; 0.5758 ; 0.2209 ; 0.0 
97.11584162712097 ; 0.5758 ; 0.2209 ; 0.0 
97.61640477180481 ; 0.5758 ; 0.2209 ; 0.0 
98.1169662475586 ; 0.5758 ; 0.2209 ; 0.0 
98.61752676963806 ; 0.5758 ; 0.2219 ; 0.0 
99.11767220497131 ; 0.5758 ; 0.2219 ; 0.0 
99.61825013160706 ; 0.5767 ; 0.2219 ; 0.0 
100.11871385574341 ; 0.5767 ; 0.2219 ; 0.0 
100.61933946609497 ; 0.5777 ; 0.2219 ; 0.0 
101.11973237991333 ; 0.5767 ; 0.2219 ; 0.0 
101.62029242515564 ; 0.5767 ; 0.2229 ; 0.0 
102.12084150314331 ; 0.5777 ; 0.2229 ; 0.0 
102.62149143218994 ; 0.5777 ; 0.2229 ; 0.0 
103.12205266952515 ; 0.5777 ; 0.2229 ; 0.0 
103.62268781661987 ; 0.5777 ; 0.2229 ; 0.0 
104.12334203720093 ; 0.5777 ; 0.2229 ; 0.0 
104.62377715110779 ; 0.5787 ; 0.2229 ; 0.0 
105.12443828582764 ; 0.5787 ; 0.2229 ; 0.0 
105.62511253356934 ; 0.5777 ; 0.2229 ; 0.0 
106.12578010559082 ; 0.5787 ; 0.2229 ; 0.0 
106.62641549110413 ; 0.5787 ; 0.2229 ; 0.0 
107.12705183029175 ; 0.5787 ; 0.2229 ; 0.0 
107.6277506351471 ; 0.5787 ; 0.2229 ; 0.0 
108.12840247154236 ; 0.5787 ; 0.2229 ; 0.0 
108.62897181510925 ; 0.5787 ; 0.2229 ; 0.0 
109.12921905517578 ; 0.5787 ; 0.2239 ; 0.0 
109.62987565994263 ; 0.5787 ; 0.2239 ; 0.0 
110.13002967834473 ; 0.5787 ; 0.2229 ; 0.0 
110.63064432144165 ; 0.5787 ; 0.2239 ; 0.0 
111.13132071495056 ; 0.5787 ; 0.2229 ; 0.0 
111.63196325302124 ; 0.5797 ; 0.2239 ; 0.0 
