Temps[s] ; V0[V] ; V1[V] ; V2[V] 
2.5033950805664062e-05 ; 0.0518 ; 0.0909 ; 0.0 
0.5006935596466064 ; 0.0518 ; 0.089 ; 0.0 
1.0012946128845215 ; 0.0518 ; 0.0841 ; 0.0 
1.5019793510437012 ; 0.0499 ; 0.085 ; 0.0 
2.0025360584259033 ; 0.0499 ; 0.089 ; 0.0 
2.503197431564331 ; 0.0489 ; 0.089 ; 0.0 
3.0037643909454346 ; 0.0489 ; 0.089 ; 0.0 
3.5044503211975098 ; 0.0489 ; 0.0899 ; 0.0 
4.005144834518433 ; 0.0479 ; 0.0929 ; 0.0 
4.505714416503906 ; 0.0479 ; 0.0929 ; 0.0 
5.006362199783325 ; 0.0489 ; 0.0919 ; 0.0 
5.506783723831177 ; 0.0479 ; 0.0919 ; 0.0 
6.007440090179443 ; 0.0479 ; 0.089 ; 0.0 
6.508128881454468 ; 0.0469 ; 0.089 ; 0.0 
7.008743047714233 ; 0.0479 ; 0.088 ; 0.0 
7.508947372436523 ; 0.0479 ; 0.089 ; 0.0 
8.009586811065674 ; 0.0479 ; 0.0899 ; 0.0 
8.510299682617188 ; 0.0469 ; 0.0899 ; 0.0 
9.010663747787476 ; 0.0469 ; 0.0919 ; 0.0 
9.511286735534668 ; 0.0469 ; 0.0899 ; 0.0 
10.011969566345215 ; 0.0469 ; 0.0909 ; 0.0 
10.512555122375488 ; 0.0469 ; 0.0909 ; 0.0 
11.013317108154297 ; 0.0469 ; 0.0919 ; 0.0 
11.513980865478516 ; 0.0459 ; 0.0919 ; 0.0 
12.014638900756836 ; 0.045 ; 0.0929 ; 0.0 
12.51518988609314 ; 0.0469 ; 0.0919 ; 0.0 
13.015859842300415 ; 0.0459 ; 0.0919 ; 0.0 
13.516495943069458 ; 0.0459 ; 0.0919 ; 0.0 
14.017173051834106 ; 0.045 ; 0.0919 ; 0.0 
14.517728090286255 ; 0.0459 ; 0.0929 ; 0.0 
15.018383264541626 ; 0.0459 ; 0.0919 ; 0.0 
15.518646955490112 ; 0.0459 ; 0.0919 ; 0.0 
16.01927661895752 ; 0.045 ; 0.0929 ; 0.0 
16.519834280014038 ; 0.045 ; 0.0929 ; 0.0 
17.020488262176514 ; 0.045 ; 0.0919 ; 0.0 
17.521135568618774 ; 0.044 ; 0.0919 ; 0.0 
18.02174973487854 ; 0.045 ; 0.0899 ; 0.0 
18.52242612838745 ; 0.044 ; 0.0919 ; 0.0 
19.023091077804565 ; 0.044 ; 0.0909 ; 0.0 
19.523728132247925 ; 0.044 ; 0.0919 ; 0.0 
20.024294137954712 ; 0.044 ; 0.0899 ; 0.0 
20.52486801147461 ; 0.044 ; 0.0899 ; 0.0 
21.02550983428955 ; 0.044 ; 0.0899 ; 0.0 
21.526179313659668 ; 0.043 ; 0.087 ; 0.0 
22.026730060577393 ; 0.043 ; 0.085 ; 0.0 
22.527392625808716 ; 0.044 ; 0.086 ; 0.0 
23.028066873550415 ; 0.043 ; 0.089 ; 0.0 
23.528618574142456 ; 0.043 ; 0.0899 ; 0.0 
24.029274225234985 ; 0.043 ; 0.0909 ; 0.0 
24.529909372329712 ; 0.043 ; 0.0919 ; 0.0 
25.03056049346924 ; 0.042 ; 0.0919 ; 0.0 
25.531222581863403 ; 0.042 ; 0.0919 ; 0.0 
26.03177309036255 ; 0.042 ; 0.0919 ; 0.0 
26.53240990638733 ; 0.042 ; 0.0919 ; 0.0 
27.033037424087524 ; 0.042 ; 0.0909 ; 0.0 
27.533489227294922 ; 0.042 ; 0.089 ; 0.0 
28.034160614013672 ; 0.042 ; 0.089 ; 0.0 
28.534787893295288 ; 0.042 ; 0.0899 ; 0.0 
29.035407304763794 ; 0.042 ; 0.0899 ; 0.0 
29.536104440689087 ; 0.0411 ; 0.0919 ; 0.0 
30.036659955978394 ; 0.0411 ; 0.0919 ; 0.0 
30.537274837493896 ; 0.0411 ; 0.0909 ; 0.0 
31.037920475006104 ; 0.0411 ; 0.0909 ; 0.0 
31.53862762451172 ; 0.0411 ; 0.0919 ; 0.0 
32.03919339179993 ; 0.0411 ; 0.0909 ; 0.0 
32.53985333442688 ; 0.0401 ; 0.0919 ; 0.0 
33.04050326347351 ; 0.0411 ; 0.0919 ; 0.0 
33.54126214981079 ; 0.0401 ; 0.0919 ; 0.0 
34.04191493988037 ; 0.0401 ; 0.0909 ; 0.0 
