Temps[s] ; V0[V] ; V1[V] ; V2[V] 
1.7642974853515625e-05 ; 0.0938 ; 0.0 ; 0.0 
0.5005483627319336 ; 0.0938 ; 0.0 ; 0.0 
1.0012414455413818 ; 0.0929 ; 0.0 ; 0.0 
1.5018579959869385 ; 0.0919 ; 0.0 ; 0.0 
2.0024337768554688 ; 0.0909 ; 0.0 ; 0.0 
2.5030581951141357 ; 0.0909 ; 0.0 ; 0.0 
3.003699541091919 ; 0.0899 ; 0.0 ; 0.0 
3.504364013671875 ; 0.089 ; 0.0 ; 0.0 
4.004997730255127 ; 0.088 ; 0.0 ; 0.0 
4.505550146102905 ; 0.088 ; 0.0 ; 0.0 
5.006114721298218 ; 0.087 ; 0.0 ; 0.0 
5.506685018539429 ; 0.086 ; 0.0 ; 0.0 
6.007249593734741 ; 0.086 ; 0.0 ; 0.0 
6.507771253585815 ; 0.085 ; 0.0 ; 0.0 
7.008294582366943 ; 0.085 ; 0.0 ; 0.0 
7.508842706680298 ; 0.0841 ; 0.0 ; 0.0 
8.00921106338501 ; 0.0831 ; 0.0 ; 0.0 
8.509754657745361 ; 0.0831 ; 0.0 ; 0.0 
9.010301351547241 ; 0.0831 ; 0.0 ; 0.0 
9.510855913162231 ; 0.0821 ; 0.0 ; 0.0 
10.011414289474487 ; 0.0821 ; 0.0 ; 0.0 
10.51205825805664 ; 0.0821 ; 0.0 ; 0.0 
11.012629747390747 ; 0.0811 ; 0.0 ; 0.0 
11.513196468353271 ; 0.0802 ; 0.0 ; 0.0 
12.01382565498352 ; 0.0811 ; 0.0 ; 0.0 
12.514455318450928 ; 0.0792 ; 0.0 ; 0.0 
13.01511025428772 ; 0.0792 ; 0.0 ; 0.0 
13.515268564224243 ; 0.0792 ; 0.0 ; 0.0 
14.015909194946289 ; 0.0782 ; 0.0 ; 0.0 
14.516540765762329 ; 0.0782 ; 0.0 ; 0.0 
15.01714015007019 ; 0.0782 ; 0.0 ; 0.0 
15.517693042755127 ; 0.0782 ; 0.0 ; 0.0 
16.018230438232422 ; 0.0782 ; 0.0 ; 0.0 
16.51876950263977 ; 0.0782 ; 0.0 ; 0.0 
